Date,SO2,NO2,CO,O3,PM10,PM2_5,TEMP,WD10,WS10
2022-01-31,0.78,12.18,0.25,42.93,7.01,4.41,-1.52,320.13,1.67
2022-01-30,0.15,14.5,0.32,42.42,6.05,3.21,0.55,147.67,1.74
2022-01-29,0.25,5.88,0.26,67.47,7.61,4.02,-1.73,213.00,2.4
2022-01-28,0.2,12.6,0.27,28.63,4.82,2.94,0.2,270.58,1.82
2022-01-27,0.12,9.15,0.27,50.57,9.32,4.54,0.33,167.92,1.92
2022-01-26,0.33,16.2,0.34,51.19,12.12,7.54,-3.95,194.04,1.99
2022-01-25,0.16,11.5,0.26,53.18,7.58,3.56,0.77,266.58,1.45
2022-01-24,0.24,5.58,0.33,53.4,10.23,6.29,-0.12,191.29,2.7
2022-01-23,0.44,8.57,0.38,53.03,12.06,8.88,-3.1,228.58,1.94
2022-01-22,0.55,7.15,0.26,55.37,6.82,4.23,-2.06,327.33,1.8
2022-01-21,0.11,8.56,0.2,57.43,3.33,1.37,-1.97,311.92,1.92
2022-01-20,0.13,7.77,0.22,54.88,9.52,5.7,1.04,155.08,2.45
2022-01-19,0.13,7.36,0.31,56.15,10.92,6.48,1.82,203.58,1.76
2022-01-18,0.3,14.33,0.38,54.17,9.77,6.4,-3.42,270.13,1.77
2022-01-17,0.25,6.5,0.26,55.58,4.05,2.54,-0.33,263.63,2.27
2022-01-16,0.75,5.54,0.37,60.87,9.19,5.41,-0.08,208.25,1.79
2022-01-15,1.16,4,0.26,68.54,3.87,2.22,1.05,297.75,2.12
2022-01-14,1.24,4.98,0.22,71.38,4.79,2.57,2.27,279.08,2.08
2022-01-13,1.6,8.43,0.33,55.3,9.89,6.55,2.62,222.33,1.45
2022-01-12,0.93,32.18,0.7,21.63,28.13,21.69,-12.93,159.08,1.41
2022-01-11,1.96,26.97,0.48,33.04,19.78,15.53,-13.99,172.04,0.82
2022-01-10,0.97,16.25,0.39,33.11,17.03,12.68,-3.88,311.29,1.15
2022-01-09,0.97,14.99,0.42,35.66,17.74,13.48,-1.81,174.83,1.74
2022-01-08,0.51,20.11,0.44,31.27,15.6,11.25,-6.64,168.08,1.56
2022-01-07,0.53,12.39,0.33,54.75,6.45,4.57,-5.68,254.08,1.32
2022-01-06,0.64,9.6,0.32,48.37,5.28,3.94,-2.28,263.00,1.52
2022-01-05,0.64,11.36,0.37,46.26,9.13,7.89,1.86,180.71,1.37
2022-01-04,0.81,19.58,0.45,31.2,10.77,7.61,2.11,169.67,1.19
2022-01-03,0.68,10.79,0.33,42.06,6.55,5.09,-3.44,142.46,1.43
2022-01-02,0.57,11.18,0.33,48.42,8.07,5.64,-7.67,175.75,1.7
2022-01-01,0.85,6.63,0.29,44.85,7.2,5.97,-2.43,301.54,1.45
2022-02-28,0.63,9.88,0.42,63.68,15.16,8.33,1.28,217.88,1.39
2022-02-27,0.78,21.33,0.61,46.39,18.3,12.16,-1.72,224.63,1.2
2022-02-26,0.14,5.56,0.3,68.39,7.6,3.2,1.24,293.29,1.62
2022-02-25,0.19,4,0.32,65.87,9.73,5.11,2.29,176.92,2.87
2022-02-24,0.25,6.4,0.36,62.72,12.11,7.17,-0.05,177.42,2.75
2022-02-23,0.5,13.85,0.47,60.62,14.5,7.65,-1.52,253.71,1.29
2022-02-22,0.15,9.8,0.29,59.31,9.58,3.25,1.18,229.21,1.49
2022-02-21,0.12,6.95,0.26,60.45,4.81,2.32,0.53,150.79,2.13
2022-02-20,0.25,6.16,0.35,62.9,8.99,5.9,0.58,215.13,1.34
2022-02-19,0.08,5.7,0.27,66.16,8.03,4.29,1.55,196.71,1.88
2022-02-18,0.26,5.88,0.28,66.81,6.56,3.64,1.49,224.58,1.5
2022-02-17,0.12,9.85,0.3,57.88,7.65,5.26,3.18,151.75,2.57
2022-02-16,0.44,13.3,0.33,55.98,19.74,13.51,2.88,161.50,2.17
2022-02-15,1.92,12.94,0.39,67.05,21.63,15.38,3.24,174.58,2.12
2022-02-14,0.95,10.33,0.39,63.41,16.99,12.36,2.55,189.21,2.05
2022-02-13,0.47,4.43,0.31,71.7,11.87,6.25,1.63,195.83,2.35
2022-02-12,0.27,5.07,0.28,71.4,7.98,4,-0.01,227.67,1.5
2022-02-11,0.37,8.39,0.24,70.15,8.44,4.06,1.63,249.67,1.12
2022-02-10,0.22,5.81,0.27,71.04,9.93,4.77,2.23,221.79,1.42
2022-02-09,0.18,7.77,0.31,61.6,8.39,4.52,1.19,225.79,1.5
2022-02-08,0.33,11.64,0.27,57.56,6.71,3.42,0.1,224.33,1.49
2022-02-07,0.12,13.42,0.29,41.96,5.28,2.69,0.87,207.13,1.93
2022-02-06,0.24,5.94,0.28,61.73,9.06,4.39,1.39,179.33,1.89
