Year,Month,Date,SO2,NO2,CO,O3,PM10,PM2_5,TEMP,WD10,WS10
2022,1,2022-01-01,0.61,11.72,0.33,48.46,9.73,6.61,-2.08,226.17,1.73
2022,2,2022-02-01,0.44,10.88,0.35,57.38,11.7,7.2,0.01,204.45,1.73
2022,3,2022-03-01,0.62,16.44,0.44,61.71,26.3,9.89,0.99,231.92,1.32
2022,4,2022-04-01,0.39,7.14,0.27,68.8,16.25,4.1,5.18,198.50,1.53
2022,5,2022-05-01,0.23,5.41,0.21,66.28,12.99,3.1,11.01,211.42,1.15
2022,6,2022-06-01,0.3,4.69,0.19,57.26,14.16,5.2,18.28,193.75,0.83
2022,7,2022-07-01,0.16,3.83,0.17,52.17,10.89,2.97,18.92,203.32,0.85
2022,8,2022-08-01,0.37,6.29,0.2,49.48,18.45,5.41,20.53,168.01,0.97
2022,9,2022-09-01,0.32,7.15,0.24,29.83,8.68,2.73,9.97,212.94,0.96
2022,10,2022-10-01,0.32,9.47,0.29,31.59,12.75,5.5,8.35,196.90,0.99
2022,11,2022-11-01,0.3,8.66,0.26,28.88,9.55,4.74,2.06,137.35,1.37
2022,12,2022-12-01,0.44,14.54,0.37,33.98,14.12,9.71,-3.65,162.05,1.64
